X,Y,COMMUNITY,RATING,DATE_RISK,COMMID,COMMTYPE,FPZONE,FMZONE,LGA,ALCOUNCIL,POPULATION,MUNSPROV,MUNSTYPE,FUELREDUC,FIREBREAK,FIREPLAN,LATITUDE,LONGITUDE
129.39755,-17.69491,Mt Maiyo,High,2020/06/30,"702",Family Outstation,No,Savanna,Victoria-Daly Regional Council,Central Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-17.694910000000000,129.397549999999995
134.50814,-12.25897,Mu-Gurta,Moderate,2020/06/30,"964",Family Outstation,No,Arnhem,West Arnhem Regional Council,Northern Land Council,"4",Bawinanga Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,No,-12.258970000000000,134.508139999999997
133.8959027769,-18.6393194444,Muckaty,Moderate,2020/06/30,"1001",Family Outstation,No,Barkly,Barkly Regional Council,Northern Land Council,"2",Far Northern Contractors Pty Ltd  ( T & J Contractors ),Private Enterprise,Yes,Yes,No,-18.639319000000000,133.895903000000004
132.87334,-12.59772,Mudginberri,Low,2020/06/30,"380",Family Outstation,No,Arnhem,West Arnhem Regional Council,Northern Land Council,"60",Warnbi Aboriginal Corporatio - Kakadu,Aboriginal Corporation,Yes,Yes,No,-12.597720000000001,132.873340000000013
136.17208,-12.16089,Mudhamul,Moderate,2020/06/30,"808",Family Outstation,No,Arnhem,East Arnhem Regional Council,Northern Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-12.160890000000000,136.172079999999994
134.20944,-22.45139,Mulga Bore,Low,2020/06/30,"118",Family Outstation,No,Alice Springs,Central Desert Regional Council,Central Land Council,"60",Central Desert Regional Council,Local Government Association,Yes,Yes,No,-22.451390000000000,134.209440000000001
133.0739027778,-14.9200416665,Mulggan,Moderate,2020/06/30,"971",Town Camp,No,ERA,Roper Gulf Regional Council,Northern Land Council,"150",Roper Gulf Regional Council,Local Government Association,Yes,Yes,No,-14.920042000000000,133.073903000000001
134.9608472222,-12.4019583333,Mulgurram,Moderate,2020/06/30,"538",Family Outstation,No,Arnhem,East Arnhem Regional Council,Northern Land Council,"3",Dinybulu Regional Services,Aboriginal Corporation,Yes,Yes,No,-12.401958000000000,134.960847000000001
129.95077,-13.92666,Mulingi,Moderate,2020/06/30,"884",Family Outstation,No,Vernon Arafura,West Daly Regional Council,Northern Land Council,"8",West Daly Regional Council,Local Government Association,Yes,Yes,No,-13.926660000000000,129.950770000000006
134.13579,-12.36306,Mumeka,Moderate,2020/06/30,"382",Family Outstation,No,Arnhem,West Arnhem Regional Council,Northern Land Council,"15",Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-12.363060000000001,134.135789999999986
135.3283472222,-14.3841805556,Mumpumampu,Moderate,2020/06/30,"630",Family Outstation,No,Arnhem,Roper Gulf Regional Council,Northern Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-14.384181000000000,135.328347000000008
132.66648,-12.61137,Mumukala,Moderate,2020/06/30,"801",Family Outstation,No,Arnhem,West Arnhem Regional Council,Northern Land Council,"9",Warnbi Aboriginal Corporatio - Kakadu,Aboriginal Corporation,Yes,Yes,No,-12.611370000000001,132.666480000000007
133.59552,-19.38253,Mungalawurru,Low,2020/06/30,"248",Family Outstation,No,Barkly,Barkly Regional Council,Central Land Council,"10",North Barkly Aboriginal Corporation/ Far Northern Contractors Pty Ltd,Aboriginal Corporation,Yes,Yes,No,-19.382529999999999,133.595519999999993
134.19843,-20.33702,Mungkarta,Moderate,2020/06/30,"244",Minor,No,Barkly,Barkly Regional Council,Central Land Council,"65",Far Northern Contractors Pty Ltd  ( T & J Contractors ),Private Enterprise,Yes,Yes,No,-20.337019999999999,134.198430000000002
129.73313,-20.58481,Mungurrupa,Moderate,2020/06/30,"647",Family Outstation,No,Alice Springs,Central Desert Regional Council,Central Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-20.584810000000001,129.733129999999989
